"PART#","CA WAREHOUSE","VA WAREHOUSE","TX WAREHOUSE","PRICE"
"PC3153P","IN STOCK","LIMITED QTY","LIMITED QTY","52.66"
"PC3159P","IN STOCK","LIMITED QTY","LIMITED QTY","62.66"
"PC3160P","IN STOCK","LIMITED QTY","LIMITED QTY","47.66"
"PC3171P","IN STOCK","LIMITED QTY","LIMITED QTY","36.66"
"PC3182","IN STOCK","IN STOCK","LIMITED QTY","62.66"
"PC3193","IN STOCK","IN STOCK","IN STOCK","49.66"
"PC3206P","IN STOCK","OUT OF STOCK","OUT OF STOCK","45.66"
"PC3220P","IN STOCK","LIMITED QTY","LIMITED QTY","59.66"
"PC3224A","LIMITED QTY","LIMITED QTY","OUT OF STOCK","72.66"
"PC3232","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","88.66"
"PC3237P","IN STOCK","IN STOCK","IN STOCK","56.66"
"PC3238P","IN STOCK","IN STOCK","LIMITED QTY","61.66"
"PC3239","IN STOCK","IN STOCK","IN STOCK","66.66"
"PC3240P","IN STOCK","LIMITED QTY","LIMITED QTY","45.66"
"PC3244A","LIMITED QTY","LIMITED QTY","LIMITED QTY","101.66"
